"filename", "language", "JSON with Comments", "TypeScript", "HTML", "Markdown", "CSS", "JavaScript", "Shell Script", "TypeScript React", "Less", "JSON", "comment", "blank", "total"
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\README.md", "Markdown", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 22, 71
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\craco.config.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32941, 0, 1, 32942
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 1, 52
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\public\index.html", "HTML", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 24, 1, 47
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\public\js\config.js", "JavaScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 16, 15, 57
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\public\js\easeljs.min.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 11, 0, 14
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\public\js\eventemitter2.min.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\public\js\mjpegcanvas.min.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\setup.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 6, 2, 12
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\App.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\App.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 3, 6, 71
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\AppContent.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 26
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\layout\Content\index.module.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 1, 6
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\layout\Content\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 2, 4, 80
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\layout\Header\index.module.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\layout\Header\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 5, 51
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\layout\Nav\index.module.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\layout\Nav\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 1, 6, 122
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\pages\Dashboard\components\AddQuestion\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 11, 10, 167
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\pages\Dashboard\components\AddTopic\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 8, 7, 67
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\pages\Dashboard\components\ChoiceTable\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 188, 0, 0, 271, 19, 478
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\pages\Dashboard\components\QuestionTable\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 250, 14, 490
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\pages\Dashboard\components\Statistics\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 7, 37
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\pages\Dashboard\components\TopicTable\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 158, 17, 380
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\pages\Dashboard\index.css", "CSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 5, 40
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\pages\Dashboard\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 185, 0, 0, 26, 21, 232
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\pages\Login-Logout\index.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\pages\Login-Logout\index.module.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\pages\Login-Logout\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 76, 18, 237
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\pages\endpoints.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 21
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\src\react-app-env.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"d:\NTU\IDP\project3\IDP-Project-3\kahoot_app\tsconfig.json", "JSON with Comments", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"Total", "-", 19, 37, 22, 49, 88, 48, 4, 1478, 1, 32992, 871, 202, 35811